ID	M	x	y	z	vx	vy	vz	eps
405	0.009930486593843098	-0.1463372768209014	0.11171539880399418	0.0	-1.9230665945463628	-2.51904689598707	0.0	0.118
406	0.009930486593843098	-0.16533638652648736	0.12621951671427922	0.0	-2.0506167149953995	-2.686126255542851	0.0	0.118
407	0.009930486593843098	-0.18680216895857674	0.14260671823351725	0.0	-2.162128441855314	-2.832196740158018	0.0	0.118
408	0.009930486593843098	-0.2110548746149013	0.16112148592178138	0.0	-2.2531281351735912	-2.951398277764289	0.0	0.118
409	0.009930486593843098	-0.23845633242400596	0.18204004374557792	0.0	-2.3214446630273886	-3.04088687785893	0.0	0.118
410	0.009930486593843098	-0.26941534791299926	0.20567447809523998	0.0	-2.3669963636555913	-3.100555570768379	0.0	0.118
411	0.009930486593843098	-0.30439380222462536	0.23237739383798037	0.0	-2.391266369051412	-3.13234712802974	0.0	0.118
412	0.009930486593843098	-0.3439135429756032	0.26254717487080165	0.0	-2.3967459126278547	-3.1395248447436637	0.0	0.118
413	0.009930486593843098	-0.38856416976174407	0.29663392765606034	0.0	-2.3865024168386078	-3.1261067726159815	0.0	0.118
414	0.009930486593843098	-0.4390118304627042	0.33514619641198257	0.0	-2.3639387424109968	-3.096550357778281	0.0	0.118
415	0.009930486593843098	-0.4960091595794621	0.37865855014283767	0.0	-2.332783884125683	-3.0557402530834668	0.0	0.118
416	0.009930486593843098	-0.5604065068757302	0.4278201547005519	0.0	-2.2973879305842217	-3.0093746892740896	0.0	0.118
417	0.009930486593843098	-0.633164623844704	0.48336445776534415	0.0	-2.263260115874507	-2.964670275004126	0.0	0.118
418	0.009930486593843098	-0.7153689972720181	0.5461201312367339	0.0	-2.233075102209461	-2.925130580854222	0.0	0.118
419	0.009930486593843098	-0.08610436117673556	0.05085311186492204	0.0	-1.0568167292129618	-1.7893994293107889	0.0	0.118
420	0.009930486593843098	-0.09728337338514464	0.057455420396155366	0.0	-1.1571280447714323	-1.9592462966549662	0.0	0.118
421	0.009930486593843098	-0.10991376752413039	0.0649149130080283	0.0	-1.265108567498065	-2.142078646297665	0.0	0.118
